Title,fontbold,w16
Denmark,87,1
New Zealand,87,1
Finland,86,3
Switzerland,85,4
Singapore,85,4
Sweden,85,4
Norway,84,7
Netherlands,82,8
Germany,80,9
Luxembourg,80,9
Iceland,78,11
Australia,77,12
Austria,77,12
Canada,77,12
United Kingdom,77,12
Hong Kong,76,16
Belgium,75,17
Estonia,74,18
Ireland,74,18
Japan,73,20
United Arab Emirates,71,21
Uruguay,71,21
France,69,23
United States of America,69,23
Bhutan,68,25
Chile,67,26
Seychelles,66,27
Taiwan,65,28
Bahamas,64,29
Barbados,62,30
Spain,62,30
Portugal,62,30
Qatar,62,30
Botswana,61,34
Brunei Darussalam,60,35
Israel,60,35
Lithuania,60,35
Slovenia,60,35
"Korea, South",59,39
Saint Vincent and the Grenadines,59,39
Cabo Verde,58,41
Cyprus,58,41
Poland,58,41
Costa Rica,56,44
Czech Republic,56,44
Georgia,56,44
Latvia,56,44
Dominica,55,48
Saint Lucia,55,48
Malta,54,50
Grenada,53,51
Italy,53,51
Malaysia,53,51
Rwanda,53,51
Saudi Arabia,53,51
Mauritius,52,56
Namibia,52,56
Oman,52,56
Slovakia,50,59
Cuba,48,60
Greece,48,60
Jordan,48,60
Croatia,47,63
Sao Tome and Principe,46,64
Vanuatu,46,64
Argentina,45,66
Belarus,45,66
Montenegro,45,66
Senegal,45,66
Hungary,44,70
Romania,44,70
Suriname,44,70
South Africa,44,70
Bulgaria,43,74
Jamaica,43,74
Tunisia,43,74
Armenia,42,77
Bahrain,42,77
Solomon Islands,42,77
Benin,41,80
China,41,80
Ghana,41,80
India,41,80
Morocco,41,80
Burkina Faso,40,85
Guyana,40,85
Indonesia,40,85
Kuwait,40,85
Lesotho,40,85
Trinidad and Tobago,40,85
Serbia,39,91
Turkey,39,91
Ecuador,38,93
Sri Lanka,38,93
Timor-Leste,38,93
Colombia,37,96
Ethiopia,37,96
Gambia,37,96
Tanzania,37,96
Vietnam,37,96
Bosnia and Herzegovina,36,101
Kosovo,36,101
Panama,36,101
Peru,36,101
Thailand,36,101
Albania,35,106
Brazil,35,106
Cote d'Ivoire,35,106
Algeria,35,106
Egypt,35,106
North Macedonia,35,106
Mongolia,35,106
Kazakhstan,34,113
Nepal,34,113
Philippines,34,113
El Salvador,34,113
Eswatini,34,113
Zambia,34,113
Sierra Leone,33,119
Moldova,32,120
Niger,32,120
Pakistan,32,120
Bolivia,31,123
Gabon,31,123
Malawi,31,123
Azerbaijan,30,126
Djibouti,30,126
Kyrgyzstan,30,126
Ukraine,30,126
Guinea,29,130
Laos,29,130
Maldives,29,130
Mexico,29,130
Mali,29,130
Myanmar,29,130
Togo,29,130
Dominican Republic,28,137
Kenya,28,137
Lebanon,28,137
Liberia,28,137
Mauritania,28,137
Papua New Guinea,28,137
Paraguay,28,137
Russia,28,137
Uganda,28,137
Angola,26,146
Bangladesh,26,146
Guatemala,26,146
Honduras,26,146
Iran,26,146
Mozambique,26,146
Nigeria,26,146
Central African Republic,25,153
Cameroon,25,153
Comoros,25,153
Tajikistan,25,153
Uzbekistan,25,153
Madagascar,24,158
Zimbabwe,24,158
Eritrea,23,160
Nicaragua,22,161
Iraq,20,162
Cambodia,20,162
Chad,20,162
Burundi,19,165
Congo,19,165
Turkmenistan,19,165
Democratic Republic of the Congo,18,168
Guinea Bissau,18,168
Haiti,18,168
Libya,18,168
"Korea, North",17,172
Afghanistan,16,173
Equatorial Guinea,16,173
Sudan,16,173
Venezuela,16,173
Yemen,15,177
Syria,13,178
South Sudan,12,179
Somalia,9,180
